Month;Stocks;Bonds;RealEstate;MutualFunds;Cryptocurrency;Total
2024-01;15000000;5000000;20000000;7000000;3000000;50000000
2024-02;15500000;5050000;20050000;7200000;3200000;51000000
2024-03;16000000;5100000;20100000;7300000;3500000;52000000
2024-04;16200000;5200000;20200000;7400000;3300000;52300000
2024-05;16500000;5250000;20350000;7550000;3600000;53250000
2024-06;17000000;5300000;20500000;7600000;3800000;54200000
2024-07;16800000;5400000;20600000;7700000;4000000;54500000
2024-08;17500000;5450000;20750000;7850000;4200000;55750000
2024-09;18000000;5500000;20900000;7900000;4500000;56800000
2024-10;18200000;5600000;21000000;8000000;4700000;57500000
2024-11;18500000;5650000;21150000;8150000;4900000;58350000
2024-12;19000000;5700000;21300000;8200000;5000000;59200000